All|All
Stippling|Stippling of the epiphyses of the 2nd finger
Triangular|Triangular epiphyses of the 2nd finger
Abnormality|Abnormality of the epiphysis of the distal phalanx of the 2nd finger
Epiphyseal|Epiphyseal abnormality of terminal index finger phalanx
Abnormality|Abnormality of the epiphysis of the middle phalanx of the 2nd finger
Epiphyseal|Epiphyseal abnormality of middle phalanx of the 2nd finger
Abnormality|Abnormality of the epiphysis of the proximal phalanx of the 2nd finger
Epiphyseal|Epiphyseal abnormality of the proximal phalanx of the 2nd finger
Absent|Absent epiphysis of the distal phalanx of the 2nd finger
Absent|Absent ossification/absent epiphysis of terminal index finger phalanx
Bracket|Bracket epiphysis of the distal phalanx of the 2nd finger
Cone-shaped|Cone-shaped epiphysis of the distal phalanx of the 2nd finger
Enlarged|Enlarged epiphysis of the distal phalanx of the 2nd finger
Fragmentation|Fragmentation of the epiphysis of the distal phalanx of the 2nd finger
Irregular|Irregular epiphysis of the distal phalanx of the 2nd finger
Ivory|Ivory epiphysis of the distal phalanx of the 2nd finger
Ivory|Ivory epiphysis of terminal index finger phalanx
Pseudoepiphysis|Pseudoepiphysis of the distal phalanx of the 2nd finger
Small|Small epiphysis of the distal phalanx of the 2nd finger
Stippling|Stippling of the epiphysis of the distal phalanx of the 2nd finger
Triangular|Triangular epiphysis of the distal phalanx of the 2nd finger
Absent|Absent epiphysis of the middle phalanx of the 2nd finger
Absent|Absent epiphyses of middle phalanx of index finger
Bracket|Bracket epiphysis of the middle phalanx of the 2nd finger
Cone-shaped|Cone-shaped epiphysis of the middle phalanx of the 2nd finger
Cone-shaped|Cone-shaped epiphyses of middle phalanx of index finger
Enlarged|Enlarged epiphysis of the middle phalanx of the 2nd finger
Fragmentation|Fragmentation of the epiphysis of the middle phalanx of the 2nd finger
Irregular|Irregular epiphysis of the middle phalanx of the 2nd finger
Ivory|Ivory epiphysis of the middle phalanx of the 2nd finger
Pseudoepiphysis|Pseudoepiphysis of the middle phalanx of the 2nd finger
Small|Small epiphysis of the middle phalanx of the 2nd finger
Stippling|Stippling of the epiphysis of the middle phalanx of the 2nd finger
Triangular|Triangular epiphysis of the middle phalanx of the 2nd finger
Absent|Absent epiphysis of the proximal phalanx of the 2nd finger
Bracket|Bracket epiphysis of the proximal phalanx of the 2nd finger
Bracket|Bracket epiphyses of proximal index finger phalanx
Cone-shaped|Cone-shaped epiphysis of the proximal phalanx of the 2nd finger
Cone-shaped|Cone-shaped epiphysis of proximal index finger phalanx
Enlarged|Enlarged epiphysis of the proximal phalanx of the 2nd finger
Large|Large epiphysis of proximal index finger phalanx
Fragmentation|Fragmentation of the epiphysis of the proximal phalanx of the 2nd finger
Irregular|Irregular epiphysis of the proximal phalanx of the 2nd finger
Ivory|Ivory epiphysis of the proximal phalanx of the 2nd finger
Pseudoepiphysis|Pseudoepiphysis of the proximal phalanx of the 2nd finger
Small|Small epiphysis of the proximal phalanx of the 2nd finger
Stippling|Stippling of the epiphysis of the proximal phalanx of the 2nd finger
Triangular|Triangular epiphysis of the proximal phalanx of the 2nd finger
Triangular|Triangular epiphysis of proximal index finger phalanx
Aplasia|Aplasia of the 2nd finger
Absent|Absent index finger phalanges
Aplasia|Aplasia of the index finger
Short|Short 2nd finger
Hypoplastic|Hypoplastic index finger phalanges
Hypoplastic/small|Hypoplastic/small index finger
Short|Short index finger
Short|Short index finger phalanges
Short|Short index fingers
Flexion|Flexion contracture of the 2nd finger
Camptodactyly|Camptodactyly of index finger
Joint|Joint contractures of the 2nd finger
Contracture|Contracture of the distal interphalangeal joint of the 2nd finger
Contracture|Contracture of the metacarpophalangeal joint of the 2nd finger
Contracture|Contracture of the proximal interphalangeal joint of the 2nd finger
Abnormality|Abnormality of the phalanges of the 2nd finger
Abnormality|Abnormality of 2nd finger phalanges
Abnormality|Abnormality of the distal phalanx of the 2nd finger
Abnormality|Abnormality of terminal index finger phalanx
Abnormality|Abnormality of the middle phalanx of the 2nd finger
Abnormality|Abnormality of middle 2nd finger phalanx
Abnormality|Abnormality of the proximal phalanx of the 2nd finger
Abnormality|Abnormality of the proximal 2nd finger phalanx
Symphalangism|Symphalangism of the 2nd finger
Symphalangism|Symphalangism of index finger phalanges
Triangular|Triangular shaped phalanges of the 2nd finger
Triangular|Triangular index finger phalanges
Broad|Broad phalanges of the 2nd finger
Wide/broad|Wide/broad index finger phalanges
Bullet-shaped|Bullet-shaped phalanges of the 2nd finger
Curved|Curved phalanges of the 2nd finger
Osteolytic|Osteolytic defects of the phalanges of the 2nd finger
Lytic|Lytic defect in index finger phalanges
Patchy|Patchy sclerosis of the phalanges of the 2nd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the phalanges of the 2nd finger
Abnormality|Abnormality of the hairline
Projection|Projection of scalp hair onto lateral cheek
Hypoplasia|Hypoplasia of the pharynx
Aplasia|Aplasia of the tibia
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the distal phalanx of the 2nd finger
Broad|Broad distal phalanx of the 2nd finger
Bullet-shaped|Bullet-shaped distal phalanx of the 2nd finger
Curved|Curved distal phalanx of the 2nd finger
Osteolytic|Osteolytic defects of the distal phalanx of the 2nd finger
Acro-osteolysis|Acro-osteolysis of index finger
Acro-osteolysis|Acro-osteolysis of terminal index finger phalanx
Patchy|Patchy sclerosis of the distal phalanx of the 2nd finger
Distal/middle|Distal/middle symphalangism of 2nd finger
Symphalangism|Symphalangism of the distal and middle phalanges of the 2nd finger
Triangular|Triangular shaped distal phalanx of the 2nd finger
Aplasia|Aplasia of the distal phalanx of the 2nd finger
Absent|Absent terminal index finger phalanx
Short|Short distal phalanx of the 2nd finger
Hypoplastic|Hypoplastic terminal index finger phalanx
Hypoplastic/small|Hypoplastic/small distal phalanx of the 2nd finger
Short|Short distal phalanx of the second finger
Short|Short terminal index finger phalanx
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the middle phalanx of the 2nd finger
Absent/hypoplastic|Absent/hypoplastic middle phalanx of 2nd finger
Broad|Broad middle phalanx of the 2nd finger
Bullet-shaped|Bullet-shaped middle phalanx of the 2nd finger
Curved|Curved middle phalanx of the 2nd finger
Osteolytic|Osteolytic defects of the middle phalanx of the 2nd finger
Lytic|Lytic defects of middle index finger phalanx
Patchy|Patchy sclerosis of the middle phalanx of the 2nd finger
Symphalangism|Symphalangism of middle phalanx of 2nd finger
Triangular|Triangular shaped middle phalanx of the 2nd finger
Absent|Absent middle phalanx of 2nd finger
Aplasia|Aplasia of the middle phalanx of the 2nd finger
Short|Short middle phalanx of the 2nd finger
Hypoplastic|Hypoplastic middle index finger phalanx
Hypoplastic/small|Hypoplastic/small middle phalanx of the 2nd finger
Proximal/middle|Proximal/middle symphalangism of the 2nd finger
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the proximal phalanx of the 2nd finger
Broad|Broad proximal phalanx of the 2nd finger
Wide/broad|Wide/broad proximal index finger phalanx
Bullet-shaped|Bullet-shaped proximal phalanx of the 2nd finger
Curved|Curved proximal phalanx of the 2nd finger
Osteolytic|Osteolytic defects of the proximal phalanx of the 2nd finger
Lytic|Lytic defects of proximal index finger phalanx
Patchy|Patchy sclerosis of the proximal phalanx of the 2nd finger
Symphalangism|Symphalangism affecting the proximal phalanx of the 2nd finger
Triangular|Triangular shaped proximal phalanx of the 2nd finger
Triangular|Triangular proximal index finger phalanx
Vestibular|Vestibular Schwannoma
Acoustic|Acoustic Neuroma
Vestibular|Vestibular neurilemmoma
Vestibular|Vestibular neurinoma
Vestibular|Vestibular neurolemmoma
Vestibular|Vestibular Schwann cell tumor
Bilateral|Bilateral vestibular Schwannoma
Bilateral|Bilateral acoustic neuromas
Unilateral|Unilateral vestibular Schwannoma
Abnormality|Abnormality of the vestibulocochlear nerve
Abnormality|Abnormality of the eighth cranial nerve
Abnormality|Abnormality of the VIIIth cranial nerve
Astrocytoma|Astrocytoma
Peripheral|Peripheral Schwannoma
Retinal|Retinal hamartoma
Occasional|Occasional neurofibromas
Aplasia|Aplasia of the proximal phalanx of the 2nd finger
Short|Short proximal phalanx of the 2nd finger
Hypoplastic/small|Hypoplastic/small proximal phalanx of the 2nd finger
Short|Short proximal index finger phalanx
Short|Short proximal phalanx of the second finger
Symphalangism|Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metatcarpal
Abnormality|Abnormality of the epiphyses of the thumb
Abnormality|Abnormality of thumb epiphyses
Flexion|Flexion contracture of thumb
Contracture|Contracture of thumb
Flexion|Flexion deformities of thumbs
Joint|Joint contractures of the thumb
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the thumb
Absent|Absent or hypoplastic thumbs
Absent/hypoplastic|Absent/hypoplastic thumb
Absent/hypoplastic|Absent/hypoplastic thumbs
Aplasia/hypoplasia|Aplasia/hypoplasia of thumbs
Aplastic/hypoplastic|Aplastic/hypoplastic thumbs
Hypoplastic|Hypoplastic to aplastic thumbs
Hypoplastic/absent|Hypoplastic/absent thumb
Thumb|Thumb aplasia/hypoplasia
Abnormality|Abnormality of the phalanges of the thumb
Abnormality|Abnormality of thumb phalanges
Deviation/Displacement|Deviation/Displacement of the thumb
Deviated|Deviated thumb
Complete|Complete duplication of distal phalanx of the thumb
Double|Double thumb distal phalanges
Duplicated|Duplicated terminal phalanx of thumb
Duplication|Duplication of distal thumb phalanx
Duplication|Duplication of terminal thumb phalanx
Complete|Complete duplication of proximal phalanx of the thumb
Duplication|Duplication of the 1st metacarpal
Partial/complete|Partial/complete duplication of the 1st metacarpal
Bifid|Bifid distal phalanx of the thumb
Bifid|Bifid distal phalanx of thumb
Bifid|Bifid terminal phalanges of thumbs
Incipient|Incipient distal thumb phalanx duplication
Notched|Notched terminal thumb phalanx
Duplication|Duplication of the distal phalanx of the thumb
Partial/complete|Partial/complete duplication of the distal phalanx of the thumb
Duplication|Duplication of the proximal phalanx of the thumb
Partial/complete|Partial/complete duplication of the proximal phalanx of the thumb
Bifid|Bifid proximal phalanx of the thumb
Complete|Complete duplication of the first metacarpal
Bifid|Bifid first metacarpal
partial|partial duplication of the first metacarpal
Abnormality|Abnormality of the distal phalanx of the thumb
Abnormality|Abnormality of terminal thumb phalanx
Abnormality|Abnormality of the proximal phalanx of the thumb
Abnormality|Abnormality of proximal thumb phalanx
Accessory|Accessory phalanx of the thumb
Radial|Radial deviation of the thumb
Radially|Radially deviated thumb
Ulnar|Ulnar deviation of the thumb
Distally|Distally placed thumb
Proximal|Proximal placement of thumb
Low|Low implantation of the thumb
Proximally|Proximally placed halluces
Proximally|Proximally placed thumbs
Contractures|Contractures of the carpometacarpal joint of the thumb
Contractures|Contractures of the metacarpophalangeal joint of the thumb
Contractures|Contractures of the interphalangeal joint of the thumb
Interphalangeal|Interphalangeal extension contractures of thumbs
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the proximal phalanx of the thumb
Broad|Broad proximal phalanx of the thumb
Bullet-shaped|Bullet-shaped proximal phalanx of the thumb
Curved|Curved proximal phalanx of the thumb
Osteolytic|Osteolytic defects of the proximal phalanx of the thumb
Patchy|Patchy sclerosis of the proximal phalanx of the thumb
Symphalangism|Symphalangism of proximal phalanx of  thumb
Triangular|Triangular shaped proximal phalanx of the thumb
Triangular|Triangular proximal thumb phalanx
Absent|Absent proximal phalanx of thumb
Absent|Absent ossification/absent proximal thumb phalanx
Aplasia|Aplasia of the proximal phalanx of the thumb
Short|Short proximal phalanx of thumb
Hypoplastic/small|Hypoplastic/small proximal phalanx of the thumb
Short|Short proximal phalanges of thumb
Short|Short proximal thumb phalanx
Symphalangism|Symphalangism of the proximal phalanx of the thumb with the 1st metatcarpal
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the distal phalanx of the thumb
Broad|Broad distal phalanx of the thumb
Broad|Broad terminal thumb phalanx
Wide|Wide distal phalanx of thumb
Bullet-shaped|Bullet-shaped distal phalanx of the thumb
Curved|Curved distal phalanx of the thumb
Osteolytic|Osteolytic defects of the distal phalanx of the thumb
Patchy|Patchy sclerosis of the distal phalanx of the thumb
Proximal/distal|Proximal/distal symphalangism of thumb
Symphalangism|Symphalangism of the distal and proximal phalanges of the thumb
Triangular|Triangular shaped distal phalanx of the thumb
Aplasia|Aplasia of the distal phalanx of the thumb
Absent|Absent ossification/absent terminal thumb phalanx
Short|Short distal phalanx of the thumb
Hypoplastic|Hypoplastic terminal thumb phalanx
Hypoplastic/small|Hypoplastic/small distal phalanx of the thumb
Short|Short terminal thumb phalanx
Short|Short thumb terminal phalanx
Small|Small terminal thumb phalanx
Bullet-shaped|Bullet-shaped phalanges of the thumb
Curved|Curved phalanges of the thumb
Osteolytic|Osteolytic defects of the phalanges of the thumb
Patchy|Patchy sclerosis of the phalanges of the thumb
Symphalangism|Symphalangism of the thumb
Fused|Fused thumb phalanges
Triangular|Triangular shaped phalanges of the thumb
Triangular|Triangular thumb phalanges
Aplasia/Hypoplasia|Aplasia/Hypoplasia of the phalanges of the thumb
Partial|Partial absence of thumb
Short|Short phalanx of the thumb
Hypoplastic|Hypoplastic thumb phalanges
Hypoplastic/small|Hypoplastic/small phalanges of the thumb
Short|Short thumb phalanges
Abnormality|Abnormality of the epiphysis of the distal phalanx of the thumb
Abnormality|Abnormality of terminal thumb epiphysis
Abnormality|Abnormality of the epiphysis of the proximal phalanx of the thumb
Absent|Absent epiphysis of the proximal phalanx of the thumb
Bracket|Bracket epiphysis of the proximal phalanx of the thumb
Cone-shaped|Cone-shaped epiphysis of the proximal phalanx of the thumb
Enlarged|Enlarged epiphysis of the proximal phalanx of the thumb
Fragmentation|Fragmentation of the epiphysis of the proximal phalanx of the thumb
Irregular|Irregular epiphysis of the proximal phalanx of the thumb
Ivory|Ivory epiphysis of the proximal phalanx of the thumb
Pseudoepiphysis|Pseudoepiphysis of the proximal phalanx of the thumb
Small|Small epiphysis of the proximal phalanx of the thumb
Stippling|Stippling of the epiphysis of the proximal phalanx of the thumb
